Channel,Date,Message
Yeouido_Lab,2026-03-31 23:50:06,"**TSMC의 내부자 3명이 10년 넘게 이어진 '매수 가뭄'을 깨고 이번 달 주식을 매수했습니다.**  3월 22일: 보젠 티엔(Bor-Zen Tien) 부사장 $55,930 매수, 초 페이 엽(Choh Fei Yeap) 수석 부사장 $55,780 매수  3월 29일: 슈시 린(Shyue-Shyh Lin) 부사장 $11,126 매수  3월 30일: 린 부사장, $164,160 추가 매수"
Yeouido_Lab,2026-03-31 23:34:54,"**엔비디아, '맞춤형칩' 마벨에 3조원 투자…생태계 확장 가속** https://biz.sbs.co.kr/article/20000301165?division=NAVER  마벨은 데이터 스토리지, 네트워킹, 광통신 및 맞춤형 AI반도체(ASIC)를 설계하는 팹리스 기업입니다. 데이터센터 관련 맞춤형 AI 칩 수요 급증에 힘입어 1월말에 종료된 2026회계연도에 매출액이 42% 성장했습니다.  양사의 협력은 단순한 자금 투입을 넘어, 엔비디아가 AI 생태계의 '연결' 문제를 해결하고 시장 지배력을 공고히 하겠다는 것으로 해석됩니다."
Yeouido_Lab,2026-03-31 23:25:43,"#오름테라퓨틱   피터운남박 23년 4월까지 오름에서 CSO로 근무했고, 지금은 비상근으로 기타비상무이사로 근무하고 있습니다. 지금은 채드 메이가 CSO로 근무하고 있습니다. 오름 CSO 이후 테레사 매디신 상근으로 CEO 역임했던 것 같습니다. 그리고 현재 거주지는 미국입니다.    그리고 피터운남박 스톡옵션 6만 + 10만 + 5.9만 + 1.8만 + 2.1만 = 약26만 주 중에서 6만주 행사했고, 그중 3.9만주 매도한 것이라 물량이 작기에 이번 매도가 엄청나게 의미있다고 생각하진 않습니다.  (행사를 못해서 못판 것 아니냐고 할 수 없는 것이, 2.1만주 제외 전부 행사 할 수 있습니다.)   하지만 바이오투심이 무너지고 있는 상황과 에이프릴바이오 내부자매도 후 주가하락을 겪었기 때문에 트라우마성 매도가 나올 수 밖에 없다고 생각합니다.  그리고 딜이 불시에 나올 수 있다는 기대감이 유지되어야 주가가 버티는데 언제 나올지 모른다는 보수적인 이승주 대표의 발언이 투심을 악화 시켰습니다.    그래도 오름이 가지는 DAC의 가치와 빅파마인 BMS가 전력으로 임상을 진행하고 있다는 사실, 전 세계에서 유일하게 임상 1상에 진입한 물질이라는 사실 등은 내부자 누가 매도하더라도 변하지 않는 사실입니다. 그리고 이승주 대표의 보수적인 마이크웍이 빛을 발하는 시기도 온다고 믿고 있습니다.   주주들이 회사를 바라보는 기간이 전부 다르고, 같은 정보를 입수해도 다르게 판단할 수 있기에 그런 부분은 어쩔 수 없지만 회사는 제 갈 길 가고 있다고 생각합니다."
Yeouido_Lab,2026-03-31 23:23:55,"조건부 종전, 다 아는 뉴스지만, 그래도 다 같이 종전 기원하는 마음에서 —————————————- **이란 대통령 “美 추가공격 없다 보장하면 종전 가능”** https://www.seoul.co.kr/news/international/2026/04/01/20260401500011?wlog_tag3=naver"
Yeouido_Lab,2026-03-31 23:20:17,"""긴급재정명령까지""… 특단대책 찾는 李대통령 https://www.mt.co.kr/politics/2026/04/01/2026033120100063560"
Yeouido_Lab,2026-03-31 22:57:32,"[제약/바이오] 알지노믹스_펀더멘탈 이상 무  DS투자증권 제약/바이오 Analyst 김민정  1. 펀더멘탈 이상 무 - 알지노믹스 3월 31일 주가 약 -14.4% 급락 - 다만 이번 하락은 펀더멘탈 훼손이 아닌 일부 바이오 ETF 환매에 따른 수급 부담 및 제약/바이오 섹터 투자심리 위축의 결과로 판단 - 펀더멘탈 측면에서는 오히려 긍정적인 이벤트 지속 중  2. 4월, AACR2026에서 공개될 RZ001 데이터 주목 - 오는 4월, 동사는 AACR 2026에서 RZ-001 간암 1차 치료 임상시험 초기 데이터 구두 발표 예정 - 이번 AACR에서 efficacy 데이터 도출될 경우 플랫폼 전반에 대한 re-rating 트리거로 작용할 가능성 높음  3. 단기 변동성 vs. 중장기적 기업 가치 - 이번 주가 조정은 외부 수급 요인에 기인한 일시적 변동 - 오히려 4월 human 데이터 기반 AACR 플랫폼 유효성 검증, 중순 RNA 기반 알츠하이머 치료제 시장 검증, 연 내 circRNA 플랫폼 최적화 등에 주목 - Event-driven 관점에서 리스크 대비 기대 수익 점차 개선되고 있는 구간으로 판단  이 자료는 조사분석자료 공표 승인이 이루어진 내용입니다  DS투자증권 리서치 텔레그램 링크 : https://t.me/DSInvResearch"
Yeouido_Lab,2026-03-31 22:31:03,"**美, 이란전쟁 속 나토 후폭풍 예고…77년 '대서양동맹' 흔들리나 ****https://www.yna.co.kr/view/AKR20260401005100071**"
Yeouido_Lab,2026-03-31 21:59:22,"트럼프: 제 생각에는 2~3주 안에 이란에서 철수할 것 같습니다. 해협 문제는 끝났고, 지금 이란과 협상 중입니다."
Yeouido_Lab,2026-03-31 21:41:45,"*** 이란 대통령: “이란은 전쟁 끝낼 의향 있으나, 요구사항이 먼저 충족되어야 함. 특히 더 이상 공격받지 않을 것이라는 보장 필요“**  **伊朗总统：伊方愿在诉求满足前提下结束战争** 当地时间3月31日，伊朗总统佩泽希齐扬表示，伊朗愿意结束战争，但前提是其诉求得到满足，尤其是获得不再遭受侵略的保证。  https://n.news.naver.com/article/018/0006246839?sid=104"
Yeouido_Lab,2026-03-31 21:07:59,#XBI  빅파마는 아직도 곳간이 두둑하고 돈을 쓰고 있고 XBI는 다시 한번 전고점을 향해 가고 있음.
