Channel,Date,Message
Yeouido_Lab,2026-05-26 06:46:48,"신약 허가까지 240일이면 끝 ... 정부, 내달 1일부터 심사기간 확 줄인다 https://www.hankyung.com/article/202605269422i"
Yeouido_Lab,2026-05-26 06:38:43,이정도 못하는 사람 넘치는데 신체능력은 이미 사람 이상같은데 ㅋㅋ  사람이 로봇보다 나은건 그냥 국밥 한그릇이면 10시간 일할수있는것뿐이다 근데 그게 크긴함  [School of Football | 첫번째 훈련 - 기초 동작](https://www.youtube.com/watch?v=-vZqEveE2t0)
Yeouido_Lab,2026-05-26 06:31:31,내일 ETF살려고 오늘 종가에 본주 던지심?
Yeouido_Lab,2026-05-26 06:31:31,두배 ETF도 원금보장해줘
Yeouido_Lab,2026-05-26 06:31:31,"받) 25일(어제)까지 삼닉 2배 ETF에 투자하기 위한 의무 수강 교육인 '단일종목 레버리지·인버스 상장 상품 거래 사전교육' 신청자는 14만4357명, 수료자는 13만4085명. 오늘까지 하면 20만 명은 가뿐히 초과한다는 전망이 지배적. 또한 이번주 내로 30만 명 돌파 예상."
Yeouido_Lab,2026-05-26 05:55:38,"**캐시카우 확보 나선 두산에너빌, 새 먹거리로 가스터빈·SMR ‘올인’ ****https://n.news.naver.com/mnews/article/117/0004068195?rc=N&ntype=RANKING&sid=001**  특히 두산에너빌리티는 SMR 분야에서 단순 공급업체를 넘어 글로벌 생산 거점 구축까지 노리고 있다. 업계에 따르면 두산에너빌리티는 지난 18일 창원시에 SMR 전용 공장 신축을 위한 건축허가 신청서를 제출했다. 해당 공장은 글로벌 SMR 시장 선점을 위해 총 8068억원이 투입되는 핵심 생산기지로, 2031년 6월 완공이 목표다.  신공장은 특정 노형만 생산하는 기존 방식에서 벗어나 엑스에너지, 테라파워 등 다양한 글로벌 설계사의 차세대 원전 제품을 동시에 생산할 수 있는 ‘멀티 파운드리(위탁생산)’ 체제로 구축된다. 완공 시 두산에너빌리티의 SMR 기자재 생산 능력은 연간 20기 수준까지 확대될 전망이다.  그간 두산에너빌리티는 원전 및 대형 플랜트 수주 시점에 따라 실적 변동성이 큰 구조라는 평가를 받아왔다. 그러나 정부의 전력수급기본계획에 따른 노후 석탄발전소의 액화천연가스(LNG) 복합화력 전환 수요가 본격화되면서 가스터빈 중심의 안정적인 수익 구조가 만들어지고 있다는 분석이 나오고 있다."
Yeouido_Lab,2026-05-26 05:43:07,"한경TV에서 증권사별 코스피 전망치 잘 정리해주심, 제일 높은 곳이 현대차증권 12,000"
Yeouido_Lab,2026-05-26 05:07:56,"✅ 인벤티지랩, 美 당뇨병 학회서 '월 1회로 체중 감소' 차세대 비만 치료제 공개…""J&J·머크와 파트너링""  https://www.newsprime.co.kr/news/article/?no=734616&sec_no=67"
Yeouido_Lab,2026-05-26 05:07:05,"**🎯 아틀라스, 2026 북중미 월드컵에서 공개되는 첫 휴머노이드가 될 가능성**   · 현대자동차그룹, FIFA 2026 북중미 월드컵 공식 파트너 영상에서 아틀라스 공개 **· 아틀라스에 현대(HYUNDAI) 로고가 처음으로 새겨짐❗️❗️**   https://x.com/CyberRobooo/status/2059099143860285882?s=20 ** 🔍 독립리서치 지엘리서치** t.me/valjuman"
Yeouido_Lab,2026-05-26 05:01:25,형님 저용?
