Channel,Date,Message
Yeouido_Lab,2025-11-30 23:45:10,"**단백질분해부터 방사성약까지…BMS, 협업으로 R&D 확장 ****https://www.docdocdoc.co.kr/news/articleView.html?idxno=3034232**** ** -BMS가 신약 발굴 단계에서 우선적으로 보는 기술 및 질환 영역은 무엇인가.  **집중하는 치료 영역은 다섯 가지다. 종양학, 혈액학, 심혈관계, 면역학, 신경과학이다. 또한 단백질 분해(Protein degradation), 방사성의약품(Radiopharmaceuticals) 등 차세대 플랫폼 기술을 중점적으로 본다. 오름테라퓨틱스와의 협력도 여기에 속한다. 우리는 항상 퍼스트인클래스(first-in-class) 또는 베스트인클래스(best-in-class) 가능성을 가진 과학을 찾고 있다.**  -국내 바이오텍이 글로벌 협업을 준비할 때 참고할 조언이 있다면.  BMS가 가장 중요하게 보는 기준은 과학적 우수성이다. 여기에 상업화 잠재력, 지적재산권(IP) 확보 여부가 더해진다.  한국BMS의 '서울–BMS 이노베이션 스퀘어 챌린지'도 좋은 파트너십 관문이다. 지금까지 프레이저 테라퓨틱스(단백질 분해), 일리미스테라퓨틱스(알츠하이머), 갤럭스(AI 단백질 설계) 등이 선정됐다. 이들은 모두 BMS의 전략적 우선순위와 맞닿아 있는 분야다."
Yeouido_Lab,2025-11-30 23:36:05,"수요 예측ing —————————- 이성욱 알지노믹스 대표 ""RNA 치환효소, 유전자치료제 패러다임 바꿀 것"" https://www.mt.co.kr/thebio/2025/12/01/2025112810460116400"
Yeouido_Lab,2025-11-30 23:13:37,애플 첫 폴더블폰 양산 임박…대규모 공급망 구축 https://www.edaily.co.kr/News/Read?newsId=01922086642394256&mediaCodeNo=257&OutLnkChk=Y
Yeouido_Lab,2025-11-30 21:56:19,"케어젠, CG-P5 임상 발표 D-1...주가 급등세 이어갈까 https://www.opinionnews.co.kr/news/articleView.html?idxno=128599"
Yeouido_Lab,2025-11-29 06:29:50,#SMR #뉴스케일파워 #원전 20251129  지인들 중 상당수가 가지고 있어서 그간 발언을 안했던 주식입니다.    현 구간은 25년 상승 파동 이전에 나왔던 단기 수렴을 기반으로 한 지지 구간입니다.  다만 여기서 계속 지지가 나올지에 대해서는 판단이 어렵습니다.   단기적으로 수렴을 더 형성해야하는 구간이니 이 점 참조하셨으면 합니다.   참고로 이 주식은 유명세에 비해서 호가가 매우매우 얕은 주식입니다. 이 점 참조하셨으면 하네요
Yeouido_Lab,2025-11-29 00:25:01,"**<글로벌 원전 르네상스, 2050년 1400GW 시대 열린다...한국에 새로운 기회>**  - 전 세계 정부의 즉각적인 행동 시 2050년까지 원자력 용량이 현재의 3배 이상인 1428GW로 늘어날 것이라는 분석 제기  - 세계원자력협회(WNA)는 COP30에서 '2025 세계 원자력 전망' 보고서를 공개함  - 보고서에 따르면 2050년 전 세계 원자력 용량은 총 1428GWe에 달할 것으로 추산돼 31개국 합의 목표치 1200GWe를 넘어설 전망  - 현재 전 세계 31개국에서 약 440기의 원자로가 가동 중이며 총용량은 397GWe 수준  - 2050년 원자력 용량의 절반 이상을 중국과 미국이 차지하며 프랑스, 인도, 러시아를 포함한 '빅5'가 약 1000GWe를 주도할 것으로 예상  - 목표 달성을 위해 신규 원전의 전력망 연결 속도를 2030년까지 현재의 4배 이상 높여야 하고, 규제 효율화, 자금 조달, 공급망 강화, SMR 등 차세대 기술 조기 상용화, 인력 양성이 시급함  - 글로벌 원전 시장 확장은 한국형 원전 및 SMR 수출 시장 확대의 기회이므로, 기술 상용화, 핵연료 확보 외교, 정책금융 지원 등 '원전 생태계 고도화' 전략 필요  [[원문 링크]](https://www.g-enews.com/view.php?ud=202511261840364637fbbec65dfb_1)"
Yeouido_Lab,2025-11-28 06:44:39,"11월 한달 시황 요약.  고된 11월 고생하셨습니다  2025년 남은 마지막 달, 모두 대박나시길 바랍니다"
Yeouido_Lab,2025-11-28 06:36:48,"펩트론 공지  http://www.peptron.co.kr/ds4_1_1.html?db=newsp&no=100&c=view&page=1&SK=&SN=&kind3=&idx=  [펩트론] 주주분들께 드리는 글  - 2024년 10월 7일 체결한 「플랫폼 기술 평가 계약」 에 따라 당사의 스마트데포 플랫폼을 적용한 공동연구는 현재까지 순조롭게 진행되고 있음을 알려드립니다.  - 최근 양사는 특정 펩타이드의 스마트데포 Formulation(제형) 에 대한 인비보 실험을 추가 진행하는 것에 합의 하였습니다.  - 이에 따라 기술평가의 종료 시점이 당초 약 14개월로 예상되었으나, 일정 부분 더 길어질 가능성도 있는 것으로 판단되며, 시험 일정에 따라 기간은 유동적임을 말씀 드립니다.  - 덧붙여, 계약기간은 “평가 종료 시”로 되어 있어 계약의 변경이나 별도의 연장 계약은 수반되지 않기 때문에 공시 변경사항이 아님을 참고하시기 바랍니다.  - 당사는 성공적인 공동연구의 완료를 위해 최선을 다하겠습니다."
Yeouido_Lab,2025-11-28 05:56:46,"**[KB시황 하인환] **2017년 말~2018년 초 코스닥 랠리를 기억하십니까  자료 링크: https://bit.ly/48ud4Gm  안녕하세요, KB증권 하인환입니다.   오늘 코스닥이 급등하고 있습니다. 정부에서 코스닥 시장 활성화를 언급한 영향인 듯 합니다. 우리가 기억해야 할 시기는 '2017년 말 ~ 2018년 초'입니다. 그 외에 기대해 볼 수 있는 점도 3가지입니다.  '강세장 속 조정' 시리즈 자료에서 조정 이후의 랠리 때에는 새로운 주도주가 등장할 수 있음을 언급했는데, 코스닥이 주요 후보가 되고 있는 듯 합니다.  ■ 코스닥 시장의 성수기는 1분기 ■ 연준의 통화정책 완화 가능성 ■ 정부정책 3.0 Round 본격화: 국민성장펀드 + IMA ■ 문재인 정부의 코스닥 시장 활성화 정책 교훈  자세한 내용은 보고서 참고 부탁드립니다. 감사합니다.  (KB증권 내부 컴플라이언스 점검을 완료했습니다. 단순 참고자료로 법적 책임의 근거가 되지 않습니다.)"
Yeouido_Lab,2025-11-28 04:15:21,**[오름테라퓨틱] BMS의 핵심 파이프라인 ****https://blog.naver.com/kim4bu_/224090799030**
Yeouido_Lab,2025-11-28 04:13:24,며칠전하고 톤이 다른데 쫄?
Yeouido_Lab,2025-11-28 04:13:24,다들 점심은 자리에서 드시길
Yeouido_Lab,2025-11-28 04:01:29,"보고사유보면, 계산안하고 물타다가 비자발적 신고된 느낌"
